					Annotator 1			Annotator 2			Annotator 3			Annotator 4			Annotator 5		
Tweet ID	Tweet	First Emoji	Second Emoji	Third Emoji	1st Score	2nd Score	3rd Score	1st Score	2nd Score	3rd Score	1st Score	2nd Score	3rd Score	1st Score	2nd Score	3rd Score	1st Score	2nd Score	3rd Score
all-625008		😭	😂	😊	1	1	0	0	2	1	1	1	1	1	2	0	1	2	0
all-749534		💯	😊	✨	1	0	1	0	2	1	0	1	1	1	2	2	0	2	0
all-892490		😂	😊	😜	1	1	1	1	1	2	2	1	2	2	1	2	2	0	0
crawled-372390		💯	😂	😉	0	1	2	0	1	1	1	1	1	1	2	2	0	1	2
all-635813		❤	❤	😂	2	2	0	1	1	0	1	1	1	2	2	0	2	2	0
crawled-134990		💯	💯	😭	0	0	1	0	0	1	0	0	2	1	1	2	0	0	2
crawled-169042		😂	🔥	😊	0	1	2	2	1	2	1	2	2	1	2	2	0	2	0
crawled-81541		✨	❤	😭	2	0	0	0	0	0	1	1	1	2	1	0	1	1	0
crawled-370907		😭	✨	😉	0	1	2	1	2	1	1	1	1	1	2	1	0	2	1
crawled-363288		😉	💋	😉	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2
all-606788		❤	📷	😂	1	0	0	1	2	0	1	1	1	2	0	0	2	0	0
all-1016068		📷	😎	📷	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1
all-734397		😊	💯	😎	2	0	1	1	1	0	2	2	1	2	2	2	2	2	0
crawled-365047		😉	😭	😊	1	0	0	1	2	0	0	2	0	1	0	1	1	1	1
crawled-144482		💪	😎	💯	2	1	1	2	2	2	1	1	1	2	2	1	2	1	0
crawled-46700		😂	❤	😭	1	2	0	1	2	1	1	2	1	2	1	0	0	2	0
all-908016		❤	🔥	🔥	1	1	1	1	0	0	2	1	1	1	1	1	1	0	0
all-987222		😂	📷	🔥	0	1	0	1	2	0	1	1	1	2	1	0	0	2	0
crawled-249054		😂	😭	😭	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1
all-1031452		📷	💯	😎	1	1	1	1	1	2	1	1	1	1	0	2	2	0	1
crawled-348956		😭	🙏	🙏	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1
all-734336		❤	☀	📷	1	2	1	0	1	1	1	0	1	0	1	1	1	0	1
crawled-22259		😂	😂	✨	2	2	1	2	1	1	2	2	1	2	2	0	2	2	0
all-814935		📷	🔥	😜	2	1	0	2	1	1	1	1	1	1	0	1	1	1	1
crawled-278551		😭	😭	🔥	1	1	1	2	2	1	1	1	1	1	1	1	2	2	0
crawled-170542		😭	🔥	😊	0	0	2	0	1	0	1	1	1	0	0	2	0	0	1
all-968305		😂	😭	❤	2	0	1	1	2	0	1	2	1	2	1	1	2	0	1
crawled-79150		😭	💯	❤	0	2	1	1	2	2	1	2	2	0	2	2	1	2	2
all-610757		😂	✨	❤	0	1	2	1	2	2	2	2	1	1	2	2	0	2	2
crawled-194498		😂	😊	😭	1	1	1	2	2	2	1	1	1	2	2	1	1	1	1
crawled-182282		😊	😂	😭	1	1	1	1	2	1	2	1	1	2	0	0	0	1	0
all-868654		🔥	🔥	❤	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1
all-909043		☀	🔥	😂	2	0	0	2	1	1	2	2	1	2	1	1	2	1	0
crawled-244894		😭	😊	😭	2	1	2	2	1	2	2	1	2	2	0	2	2	0	2
crawled-40612		😂	😭	😂	1	1	1	2	2	2	1	2	1	2	1	2	1	1	1
all-894613		😂	📷	📷	1	1	1	1	2	2	1	2	2	2	2	2	2	1	1
all-878571		📷	😂	😊	1	1	1	2	1	2	1	1	1	0	2	0	2	0	0
all-844254		😂	❤	💯	0	1	2	2	2	1	1	2	2	0	2	2	0	2	2
all-892370		🙏	🔥	😉	1	0	2	1	1	2	0	2	2	0	1	2	2	0	1
crawled-319533		✨	😭	❤	1	0	2	2	2	2	2	1	2	2	0	2	2	0	2
crawled-275678		😭	😭	😂	1	1	1	2	2	1	2	2	1	2	2	2	1	1	2
crawled-338144		😎	😎	😭	2	2	0	2	2	1	1	1	2	0	0	2	0	0	1
crawled-389311		😜	😎	😂	2	1	1	2	2	2	2	1	2	2	2	2	1	2	0
all-856542		😭	😂	😊	1	1	1	0	1	0	1	2	0	0	1	0	0	2	0
crawled-216152		😭	🎉	🎉	0	2	2	1	1	1	1	2	2	1	2	2	0	2	2
crawled-43494		😂	😭	😂	2	0	2	1	1	1	1	1	1	2	0	2	2	0	2
all-718317		😉	😊	❤	2	2	2	1	2	2	2	2	2	1	2	2	1	1	2
crawled-227003		📷	😉	😭	1	2	0	0	1	2	1	1	2	0	1	2	1	0	0
crawled-26773		😂	😂	❤	1	1	1	1	1	0	2	2	1	2	2	0	2	2	0
crawled-99420		❤	❤	😭	2	2	1	1	1	1	2	2	1	2	2	0	2	2	0
crawled-322395		😎	😭	😎	2	0	2	2	0	2	1	1	1	2	0	2	2	0	2
crawled-333341		😭	😎	💯	0	1	1	1	1	0	2	1	0	1	2	0	0	2	0
crawled-376856		❤	😉	😭	1	2	0	0	2	0	2	2	1	0	2	0	0	2	0
crawled-255009		😂	😭	😭	1	2	2	1	1	1	1	2	2	1	2	2	1	1	1
crawled-379947		😉	😭	😂	1	1	1	2	0	1	1	1	1	2	0	2	1	0	1
crawled-377328		😉	❤	😉	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1
crawled-292875		😂	😭	😭	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1
crawled-111778		💯	😎	🔥	1	2	1	1	1	1	1	1	1	1	2	1	0	2	0
crawled-240988		😂	😭	😭	1	1	1	1	1	1	1	1	1	2	2	2	2	0	0
crawled-223883		😭	❤	😭	1	0	1	2	1	2	2	1	2	2	0	2	2	2	2
crawled-122170		🔥	🙏	😭	1	1	0	1	2	1	1	1	1	0	0	2	2	1	0
crawled-213300		😂	🎉	😭	1	2	1	0	2	1	1	0	2	1	2	0	0	1	0
crawled-242204		🔥	😭	😭	2	1	1	1	2	2	1	2	2	2	1	1	2	0	0
all-878867		🎄	❤	📷	1	1	1	1	1	2	0	2	1	0	2	1	0	0	1
all-1037306		😂	📷	🔥	1	0	1	2	0	0	2	1	1	2	1	1	1	1	0
all-700576		❤	📷	📷	1	2	2	0	0	0	0	1	1	2	1	1	1	2	2
crawled-361721		😭	📷	📷	1	2	2	0	1	1	1	2	2	0	2	2	0	2	2
crawled-84777		😊	❤	😂	2	0	2	2	0	1	1	1	1	2	1	0	2	1	1
crawled-110063		😭	❤	❤	1	2	2	0	2	2	1	2	2	0	2	2	1	2	2
all-1018222		😂	😜	📷	0	1	2	1	2	1	2	2	1	2	2	1	1	1	2
crawled-73493		❤	😭	😂	2	0	1	1	1	1	1	1	1	2	0	1	2	0	1
all-703323		😜	😭	❤	2	0	0	1	2	1	1	1	1	0	0	2	0	2	1
crawled-392717		😊	💯	😜	1	1	2	0	0	1	1	1	2	1	0	2	0	0	1
all-844797		😊	😂	😊	1	1	1	1	1	1	1	1	1	2	1	2	2	0	2
crawled-333896		😎	💯	😭	2	0	0	2	0	0	1	1	1	2	2	0	2	0	0
crawled-205433		💯	🙌	😂	1	2	1	0	1	1	0	1	1	2	2	0	1	2	0
crawled-276361		😭	😭	💯	1	1	0	1	1	0	1	1	0	0	0	2	0	0	1
crawled-205682		🙌	😭	❤	2	0	2	2	1	2	2	1	2	2	1	2	1	0	2
crawled-281347		😉	😭	😂	2	1	1	2	0	1	1	1	1	2	0	2	2	0	0
crawled-374795		😉	😭	😂	2	0	1	1	0	2	1	1	1	2	0	1	2	0	0
crawled-32017		😂	😂	💯	2	2	0	2	2	0	1	1	0	2	2	1	2	2	0
all-903247		😂	😊	😜	1	2	0	1	0	1	2	1	2	2	0	2	2	0	0
crawled-369897		😉	💯	❤	1	2	2	1	0	2	2	2	2	1	2	2	0	2	2
crawled-125253		😭	😊	🔥	1	1	0	1	0	1	1	1	1	0	1	0	0	1	2
crawled-3635		😊	😭	😂	1	1	1	2	1	1	1	1	1	2	1	1	1	0	1
all-1003499		😂	❤	🙏	1	2	2	0	2	1	1	2	2	0	2	2	0	2	2
crawled-371443		😉	😭	😊	1	0	2	2	0	1	2	1	2	2	0	2	1	0	2
crawled-315503		😭	✨	😊	0	1	2	0	1	2	1	2	2	0	1	2	0	2	1
all-799415		😊	😉	😭	1	1	1	0	2	0	2	2	1	2	2	0	1	0	0
crawled-41806		😂	💯	😂	2	1	2	2	0	2	2	0	2	2	0	2	2	0	2
crawled-33628		😂	😂	❤	1	1	1	2	2	0	1	1	1	2	2	0	1	1	0
crawled-136822		😭	💯	😊	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0
crawled-391419		😜	😭	🎉	0	0	1	0	1	2	2	1	1	1	1	0	1	0	2
all-768821		😂	❤	😜	0	2	0	0	2	0	1	1	1	0	2	0	0	2	0
all-697787		😭	😂	😊	1	1	0	0	2	0	1	1	1	2	1	0	1	2	0
crawled-371752		😭	😉	😂	1	2	2	0	2	1	1	2	1	0	2	2	0	1	1
all-646039		😊	😭	✨	2	0	0	1	0	2	0	2	0	2	0	2	1	0	2
crawled-33807		😂	💯	😭	2	0	0	1	0	0	1	0	1	2	1	2	2	0	2
all-753166		😂	😊	❤	1	1	1	0	1	1	1	1	1	2	1	1	1	1	2
crawled-192182		😭	😉	😊	2	2	2	0	2	1	1	1	1	0	2	1	0	0	1
crawled-289533		😂	😭	😭	2	0	0	2	0	0	1	2	2	2	0	0	1	0	0
crawled-149851		💯	💯	😭	0	0	2	0	0	0	0	0	2	0	0	2	1	1	0
crawled-157292		💯	😭	😂	0	2	0	0	0	0	0	2	1	1	2	1	0	1	1
all-994672		😎	❤	💯	1	2	1	0	0	0	1	1	1	1	2	1	1	2	0
all-999082		🔥	😎	📷	2	2	2	0	1	1	1	1	1	2	2	2	1	1	2
crawled-226064		😂	😭	😭	0	2	2	0	2	2	1	2	2	0	2	2	0	2	2
crawled-240193		😭	❤	😭	1	1	1	0	0	0	2	0	2	1	0	1	1	1	1
all-1051793		🔥	😂	❤	0	0	2	0	1	1	1	2	1	1	1	2	2	0	1
crawled-138681		😭	💯	💯	1	1	1	0	0	0	1	0	0	1	2	2	0	0	0
crawled-179144		😊	😉	😊	1	1	1	0	2	0	2	2	2	2	2	2	0	2	0
all-997137		🔥	🔥	❤	0	0	2	1	1	2	1	1	2	2	2	2	0	0	2
crawled-125349		🔥	💯	😭	1	0	0	2	0	1	1	0	2	1	1	1	1	1	1
all-1045828		😭	❤	❤	2	2	2	2	0	0	2	1	1	2	1	1	2	1	1
crawled-133920		💯	💯	😊	0	0	2	0	0	1	0	0	2	0	0	2	0	0	1
all-1027492		😂	📷	🔥	1	2	2	2	1	1	1	1	1	2	0	1	1	1	0
crawled-26878		😂	💯	😭	1	0	2	1	0	2	1	0	2	2	0	2	1	0	2
all-1008796		😊	🎄	😜	2	2	1	1	2	1	1	2	1	2	2	1	1	2	0
crawled-271376		😭	💯	😭	1	1	1	0	0	0	2	0	2	2	0	2	2	0	2
crawled-176874		😊	😊	💯	2	2	0	2	2	0	1	1	0	2	2	1	2	2	0
crawled-21148		😂	💯	😭	2	0	2	2	0	1	1	0	2	2	0	0	2	0	0
crawled-393127		😜	🔥	😭	1	0	0	2	0	0	1	1	2	2	0	0	1	0	0
all-629118		📷	💯	❤	2	0	2	0	0	0	1	0	1	1	1	1	2	0	1
crawled-387678		😭	😜	💯	1	1	0	0	2	0	2	1	0	0	2	1	0	2	0
crawled-204538		😊	😊	😭	2	2	0	2	2	0	2	2	1	2	2	0	2	2	0
crawled-309298		😂	😭	😭	2	1	1	0	0	0	1	2	2	2	1	1	2	1	1
crawled-234616		😂	😭	😭	2	0	0	2	0	0	1	2	2	2	2	2	2	0	0
crawled-196867		😭	😊	✨	1	2	0	0	1	1	1	1	1	1	2	2	0	2	0
crawled-205221		😊	🎉	🙌	2	2	1	1	1	2	2	2	2	2	2	2	1	2	1
crawled-249340		😭	😭	❤	1	1	2	1	1	2	1	1	2	1	1	2	0	0	2
crawled-270894		😊	😭	😭	1	1	1	0	2	2	2	0	0	2	2	2	0	1	1
all-724104		📷	📷	😂	2	2	1	1	1	0	1	1	1	1	1	2	1	1	0
crawled-199117		😊	😊	🎉	2	2	1	2	2	0	2	2	2	2	2	1	2	2	2
all-953541		❤	❤	📷	1	1	2	2	2	1	1	1	1	2	2	1	2	2	2
all-929960		😊	📷	💯	2	1	1	2	1	0	1	1	0	2	1	1	1	0	0
all-851235		😭	✨	💯	2	0	0	2	0	0	2	0	0	2	0	0	1	0	0
all-664744		❤	❤	😭	2	2	0	2	2	0	2	2	2	2	2	2	2	2	0
crawled-320719		😎	✨	💯	2	2	1	2	0	0	1	1	0	2	0	2	2	1	0
all-720390		😊	❤	😊	2	2	2	2	1	2	1	1	1	2	2	2	1	2	1
all-729679		😂	📷	📷	1	2	2	1	1	1	1	1	1	2	1	1	0	2	2
all-975044		🙏	😎	💯	1	1	1	0	1	2	0	1	0	1	1	2	1	1	1
crawled-47796		😂	😂	💯	1	1	1	0	0	0	2	2	0	2	2	0	2	2	0
crawled-339210		😎	😂	😭	2	1	0	2	0	0	2	1	1	2	1	0	2	0	0
crawled-238652		😭	😂	😭	1	1	1	2	1	2	1	1	1	1	2	1	0	2	0
all-783346		❤	😊	😭	1	0	2	1	0	1	2	2	2	2	2	2	1	0	2
crawled-4060		😂	❤	😊	1	0	0	0	0	0	1	1	1	2	1	1	1	0	0
crawled-320565		😂	😭	✨	1	0	1	0	0	0	2	1	1	2	1	1	2	0	1
